loophole,discovery_bin,steps,count,runs,probability,poisson_transform,step_unit
barnes_group,0,128,9,30,0.3,-1.2039728043259361,128
barnes_group,1,256,9,30,0.3,-0.5108256237659912,128
barnes_group,4,640,3,30,0.1,2.4849066497880012,128
barnes_group,8,1152,3,30,0.1,10.499242387087422,128
barnes_group,10,1408,3,30,0.1,15.199722752879842,128
barnes_group,25,3328,3,30,0.1,58.959116668007965,128
distressed_assets,0,128,24,30,0.8,-0.2231435513142097,128
distressed_assets,1,256,3,30,0.1,-1.6094379124341005,128
distressed_assets,4,640,3,30,0.1,2.4849066497880012,128
dub_irish_dutch,0,128,21,30,0.7,-0.35667494393873245,128
dub_irish_dutch,1,256,6,30,0.2,-0.9162907318741553,128
dub_irish_dutch,3,512,3,30,0.1,0.875468737353899,128
partnership_disguised_sale,0,128,9,30,0.3,-1.2039728043259361,128
partnership_disguised_sale,1,256,9,30,0.3,-0.5108256237659912,128
partnership_disguised_sale,3,512,9,30,0.3,1.9740810260220083,128
partnership_disguised_sale,5,768,3,30,0.1,4.276666119016056,128
straddle_abuse,3,512,3,30,0.1,0.875468737353899,128
straddle_abuse,4,640,3,30,0.1,2.4849066497880012,128
straddle_abuse,8,1152,6,30,0.2,11.192389567647368,128
straddle_abuse,9,1280,3,30,0.1,12.801827480081469,128
straddle_abuse,13,1792,3,30,0.1,22.888636089744637,128
straddle_abuse,16,2176,3,30,0.1,31.202488357142844,128
straddle_abuse,23,3072,3,30,0.1,52.482144305118275,128
straddle_abuse,25,3328,3,30,0.1,58.959116668007965,128
straddle_abuse,38,4992,3,30,0.1,104.32917516764941,128
subsidiary_stock_comp,0,128,18,30,0.6,-0.5108256237659907,128
subsidiary_stock_comp,1,256,6,30,0.2,-0.9162907318741553,128
subsidiary_stock_comp,2,384,3,30,0.1,-0.5108256237659905,128
subsidiary_stock_comp,5,768,3,30,0.1,4.276666119016056,128
