avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
0.9448,-0.8000000000000005,0,-0.8000000000000005,,hard,0,0,barnes_group,1.270901660124461,0,0.25,38,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,128,0
1.1255,-0.7600000000000005,0,-0.7600000000000005,,hard,0,0,barnes_group,0.07948802784085274,0,0.2487,33,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,256,1
1.1391,-0.7700000000000005,0,-0.7700000000000005,,hard,0,0,barnes_group,0.25277164950966835,0,0.2475,38,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,384,2
1.1102,-0.7700000000000005,0,-0.7700000000000005,,hard,0,0,barnes_group,0.030676467965046566,0,0.2463,35,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,512,3
1.2289,-0.7700000000000005,0,-0.7700000000000005,,hard,0,0,barnes_group,0.07386975487073262,0,0.245,35,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,640,4
1.1838,-0.7500000000000004,0,-0.7500000000000004,,hard,0,0,barnes_group,0.01570882151524226,0,0.2438,30,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,768,5
1.1565,-0.7600000000000005,0,-0.7600000000000005,,hard,0,0,barnes_group,0.20609724521636963,0,0.2426,31,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,896,6
1.2001,-0.8300000000000005,0,-0.8300000000000005,,hard,0,0,barnes_group,0.026279788464307785,0,0.2414,32,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,1024,7
1.202,-0.7900000000000004,0,-0.7900000000000004,,hard,0,0,barnes_group,0.058280503998200096,0,0.2402,28,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,1152,8
1.354,-0.9000000000000006,0,-0.9000000000000006,,hard,0,0,barnes_group,0.05375955378015836,0,0.239,35,0,,1729,experiments/results/loophole_learning_metrics_hard_barnes_group_927708_0_20260807_135845,0,0,1280,9
