avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
3.5366,-11.31666666666664,0,-135.79999999999967,,hard,12,123,barnes_group,2.382133980592092,0,0.25,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,128,0
4.0639,-10.654999999999976,0,-127.85999999999972,,hard,12,115,barnes_group,0.832189659277598,0,0.2487,37,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,256,1
4.2937,-10.574166666666647,0,-126.88999999999976,,hard,12,114,barnes_group,0.730274498462677,0,0.2475,34,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,384,2
4.2177,-10.821666666666642,0,-129.8599999999997,,hard,12,117,barnes_group,0.8812320828437805,0,0.2463,33,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,512,3
4.2269,-11.152499999999975,0,-133.8299999999997,,hard,12,121,barnes_group,0.8973747690518697,0,0.245,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,640,4
4.381,-10.735833333333309,0,-128.8299999999997,,hard,12,116,barnes_group,0.7646102706591288,0,0.2438,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,768,5
4.4408,-10.909166666666641,0,-130.90999999999968,,hard,12,118,barnes_group,0.8022539814313253,0,0.2426,27,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,896,6
4.5513,-10.817499999999976,0,-129.80999999999972,,hard,12,117,barnes_group,0.8586279153823853,0,0.2414,31,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1024,7
4.3552,-10.737499999999976,0,-128.8499999999997,,hard,12,116,barnes_group,0.7646632393201193,0,0.2402,21,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1152,8
4.223,-10.182499999999983,0,-122.1899999999998,,hard,12,109,barnes_group,0.715070386727651,0,0.239,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1280,9
4.4227,-9.928333333333315,0,-119.13999999999979,,hard,12,106,barnes_group,0.6709778904914856,0,0.2378,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1408,10
3.9023,-9.229999999999997,0,-110.75999999999996,,hard,12,97,barnes_group,0.550511360168457,0,0.2366,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1536,11
4.1253,-9.446666666666657,0,-113.35999999999989,,hard,12,100,barnes_group,0.5029049813747406,0,0.2354,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1664,12
4.2801,-9.851666666666645,0,-118.21999999999974,,hard,12,105,barnes_group,0.6036104361216227,0,0.2342,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1792,13
4.4413,-9.389166666666656,0,-112.66999999999986,,hard,12,99,barnes_group,0.4628983438014984,0,0.2331,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1920,14
4.5877,-10.342499999999985,0,-124.10999999999981,,hard,12,111,barnes_group,0.9025916655858358,0,0.2319,22,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2048,15
4.7259,-9.940833333333314,0,-119.28999999999976,,hard,12,106,barnes_group,0.6451165676116943,0,0.2307,38,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2176,16
4.6257,-10.028333333333318,0,-120.33999999999982,,hard,12,107,barnes_group,0.5741211771965027,0,0.2296,34,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2304,17
4.8158,-10.745833333333309,0,-128.9499999999997,,hard,12,116,barnes_group,0.7411306897799174,0,0.2284,33,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2432,18
4.409,-9.517499999999982,0,-114.2099999999998,,hard,12,101,barnes_group,0.5017668604850769,0,0.2273,25,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2560,19
3.9748,-9.864999999999979,0,-118.37999999999975,,hard,12,105,barnes_group,0.6428409020105997,0,0.2262,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2688,20
3.8314,-8.632499999999991,0,-103.58999999999989,,hard,12,90,barnes_group,0.5231975317001343,0,0.225,37,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2816,21
3.9898,-9.042499999999993,0,-108.50999999999992,,hard,12,95,barnes_group,0.37221256891886395,0,0.2239,24,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,2944,22
4.0595,-8.803333333333313,0,-105.63999999999976,,hard,12,92,barnes_group,0.31648293137550354,0,0.2228,40,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,3072,23
