avg_reward_per_episode,cumulative_reward,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,seed,success_count,success_rate,total_steps,update
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.53103637695312,0,0.25,39,0,1729,0,0.0,128,0
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.14121500651042,0,0.2487,28,0,1729,0,0.0,256,1
-72.28833333333317,-867.4599999999981,12,125,distressed_assets,104.84488169352214,0,0.2475,29,0,1729,0,0.0,384,2
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.22999827067058,0,0.2463,25,0,1729,0,0.0,512,3
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.52581532796223,0,0.245,31,0,1729,0,0.0,640,4
-71.54333333333318,-858.5199999999982,12,116,distressed_assets,102.34087626139323,0,0.2438,25,0,1729,0,0.0,768,5
-70.70916666666652,-848.5099999999983,12,106,distressed_assets,99.84401957194011,0,0.2426,27,0,1729,0,0.0,896,6
-70.78583333333319,-849.4299999999982,12,107,distressed_assets,99.69302876790364,0,0.2414,37,0,1729,0,0.0,1024,7
-70.7158333333332,-848.5899999999983,12,106,distressed_assets,100.45515441894531,0,0.2402,30,0,1729,0,0.0,1152,8
-71.53416666666652,-858.4099999999983,12,116,distressed_assets,101.51524861653645,0,0.239,28,0,1729,0,0.0,1280,9
-70.4658333333332,-845.5899999999983,12,103,distressed_assets,99.22739664713542,0,0.2378,33,0,1729,0,0.0,1408,10
-69.91249999999991,-838.9499999999989,12,96,distressed_assets,97.38254038492839,0,0.2366,37,0,1729,0,0.0,1536,11
-69.69499999999988,-836.3399999999986,12,93,distressed_assets,97.48814392089844,0,0.2354,30,0,1729,0,0.0,1664,12
-69.42499999999994,-833.0999999999992,12,90,distressed_assets,96.5864969889323,0,0.2342,15,0,1729,0,0.0,1792,13
-69.30333333333321,-831.6399999999986,12,89,distressed_assets,96.17015838623047,0,0.2331,30,0,1729,0,0.0,1920,14
-70.29749999999984,-843.5699999999981,12,101,distressed_assets,99.2238998413086,0,0.2319,37,0,1729,0,0.0,2048,15
-69.65499999999992,-835.859999999999,12,93,distressed_assets,98.10836029052734,0,0.2307,31,0,1729,0,0.0,2176,16
-70.23333333333318,-842.7999999999981,12,100,distressed_assets,98.92792002360027,0,0.2296,28,0,1729,0,0.0,2304,17
-70.2249999999999,-842.6999999999988,12,100,distressed_assets,97.6825688680013,0,0.2284,33,0,1729,0,0.0,2432,18
-69.90583333333319,-838.8699999999983,12,96,distressed_assets,96.89276885986328,0,0.2273,28,0,1729,0,0.0,2560,19
-70.29416666666651,-843.5299999999982,12,101,distressed_assets,99.47247314453125,0,0.2262,34,0,1729,0,0.0,2688,20
-69.88166666666656,-838.5799999999988,12,96,distressed_assets,97.3935317993164,0,0.225,27,0,1729,0,0.0,2816,21
-71.55083333333319,-858.6099999999982,12,116,distressed_assets,102.14452362060547,0,0.2239,29,0,1729,0,0.0,2944,22
-69.10916666666661,-829.3099999999993,12,86,distressed_assets,96.11599731445312,0,0.2228,21,0,1729,0,0.0,3072,23
-70.2566666666665,-843.0799999999981,12,100,distressed_assets,97.99374643961589,0,0.2217,29,0,1729,0,0.0,3200,24
-72.12416666666653,-865.4899999999983,12,123,distressed_assets,103.6974868774414,0,0.2206,24,0,1729,0,0.0,3328,25
-71.87583333333318,-862.5099999999982,12,120,distressed_assets,103.18341064453125,0,0.2195,32,0,1729,0,0.0,3456,26
-72.29833333333319,-867.5799999999982,12,125,distressed_assets,104.39147694905598,0,0.2184,26,0,1729,0,0.0,3584,27
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.59125264485677,0,0.2173,25,0,1729,0,0.0,3712,28
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.1714859008789,0,0.2162,17,0,1729,0,0.0,3840,29
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.65902201334636,0,0.2151,27,0,1729,0,0.0,3968,30
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.52062225341797,0,0.214,20,0,1729,0,0.0,4096,31
-72.28416666666651,-867.4099999999981,12,125,distressed_assets,104.48152414957683,0,0.213,30,0,1729,0,0.0,4224,32
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.0058822631836,0,0.2119,29,0,1729,0,0.0,4352,33
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.21836598714192,0,0.2108,29,0,1729,0,0.0,4480,34
-71.94999999999986,-863.3999999999983,12,121,distressed_assets,103.34493001302083,0,0.2098,28,0,1729,0,0.0,4608,35
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.49063364664714,0,0.2087,30,0,1729,0,0.0,4736,36
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.68764750162761,0,0.2077,28,0,1729,0,0.0,4864,37
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.06585439046223,0,0.2066,33,0,1729,0,0.0,4992,38
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.11952718098958,0,0.2056,19,0,1729,0,0.0,5120,39
-71.94999999999986,-863.3999999999983,12,121,distressed_assets,103.34595235188802,0,0.2046,26,0,1729,0,0.0,5248,40
-72.53333333333318,-870.3999999999982,12,128,distressed_assets,105.16936747233073,0,0.2036,29,0,1729,0,0.0,5376,41
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,105.43872324625652,0,0.2025,33,0,1729,0,0.0,5504,42
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.11597696940105,0,0.2015,26,0,1729,0,0.0,5632,43
-72.12916666666656,-865.5499999999988,12,123,distressed_assets,104.15631612141927,0,0.2005,28,0,1729,0,0.0,5760,44
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.16180928548177,0,0.1995,23,0,1729,0,0.0,5888,45
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,104.84631601969402,0,0.1985,23,0,1729,0,0.0,6016,46
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.00278727213542,0,0.1975,24,0,1729,0,0.0,6144,47
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,105.08204396565755,0,0.1965,24,0,1729,0,0.0,6272,48
-72.28583333333319,-867.4299999999982,12,125,distressed_assets,104.33094278971355,0,0.1956,34,0,1729,0,0.0,6400,49
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.71150207519531,0,0.1946,29,0,1729,0,0.0,6528,50
-72.36666666666652,-868.3999999999982,12,126,distressed_assets,104.84230041503906,0,0.1936,27,0,1729,0,0.0,6656,51
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,104.88160705566406,0,0.1926,33,0,1729,0,0.0,6784,52
-72.12083333333318,-865.4499999999982,12,123,distressed_assets,103.91571807861328,0,0.1917,29,0,1729,0,0.0,6912,53
-72.11666666666652,-865.3999999999982,12,123,distressed_assets,103.85954284667969,0,0.1907,24,0,1729,0,0.0,7040,54
-72.44999999999985,-869.3999999999982,12,127,distressed_assets,104.8649673461914,0,0.1898,26,0,1729,0,0.0,7168,55
