avg_reward_per_episode,best_tax_advantage,cumulative_reward,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,success_count,success_rate,total_steps,update
-6.014291930379736,0,-96.22867088607578,16,83,dub_irish_dutch,1.0362683534622192,0,0.25,27,0,0,1729,0,0.0,128,0
-6.33666666666666,-inf,-95.0499999999999,15,82,dub_irish_dutch,1.1988885005315144,0,0.2487,39,0,0,1729,0,0.0,256,1
-5.941874999999996,-inf,-95.06999999999994,16,82,dub_irish_dutch,0.9010289112726847,0,0.2475,31,0,0,1729,0,0.0,384,2
-6.267333333333322,-inf,-94.00999999999982,15,81,dub_irish_dutch,0.9619423945744833,0,0.2463,37,0,0,1729,0,0.0,512,3
-5.696874999999993,-inf,-91.14999999999989,16,78,dub_irish_dutch,0.8007258971532186,0,0.245,32,0,0,1729,0,0.0,640,4
-6.567499999999988,-inf,-105.07999999999981,16,92,dub_irish_dutch,1.0377542575200398,0,0.2438,24,0,0,1729,0,0.0,768,5
-5.870110343665762,0,-93.92176549865219,16,81,dub_irish_dutch,0.770093560218811,0,0.2426,40,0,0,1729,0,0.0,896,6
-5.627499999999997,-inf,-90.03999999999995,16,77,dub_irish_dutch,0.6811270117759705,0,0.2414,33,0,0,1729,0,0.0,1024,7
-6.573571428571421,-inf,-92.0299999999999,14,79,dub_irish_dutch,0.8219795028368632,0,0.2402,25,0,0,1729,0,0.0,1152,8
-5.815624999999994,-inf,-93.0499999999999,16,80,dub_irish_dutch,0.6176943182945251,0,0.239,39,0,0,1729,0,0.0,1280,9
-6.143749999999994,-inf,-98.2999999999999,16,85,dub_irish_dutch,0.6556805769602457,0,0.2378,29,0,0,1729,0,0.0,1408,10
-5.758124999999993,-inf,-92.12999999999988,16,79,dub_irish_dutch,0.5202867786089579,0,0.2366,26,0,0,1729,0,0.0,1536,11
-5.868749999999995,-inf,-93.89999999999992,16,81,dub_irish_dutch,0.529120922088623,0,0.2354,40,0,0,1729,0,0.0,1664,12
-5.490458860759487,0,-87.8473417721518,16,75,dub_irish_dutch,0.3924136559168498,0,0.2342,26,0,0,1729,0,0.0,1792,13
-6.126791930379736,0,-98.02867088607577,16,85,dub_irish_dutch,0.45652760068575543,0,0.2331,34,0,0,1729,0,0.0,1920,14
-5.490917305691078,0,-87.85467689105725,16,75,dub_irish_dutch,0.3215658167997996,0,0.2319,25,0,0,1729,0,0.0,2048,15
-5.821249999999995,-inf,-93.13999999999992,16,80,dub_irish_dutch,0.33022745450337726,0,0.2307,27,0,0,1729,0,0.0,2176,16
