discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,42,795.0955218650633,hard,partnership_disguised_sale,-19.134084051724162,0,1729,5504,-19.154265625000026,0.3273963914775954,0.0,0.0,100
True,28,800.4170069069369,hard,partnership_disguised_sale,-19.52148003472225,1,1730,3712,-19.42832812500003,0.42083897245630525,0.0,0.0,100
False,,680.9953272009734,hard,partnership_disguised_sale,,2,1731,,-19.45446875000003,0.3409303782603222,0.0,0.0,100
False,,668.5412691219244,hard,partnership_disguised_sale,,3,1732,,-18.78276562500002,0.43187553882354973,0.0,0.0,100
True,19,654.739423349034,hard,partnership_disguised_sale,-19.759841820987685,4,1733,2560,-19.683875000000032,0.6099443477228758,0.00625,0.01923709410159664,100
True,42,659.6049916050397,hard,partnership_disguised_sale,-19.23483297413796,5,1734,5504,-19.134343750000024,0.41936242407021,0.0,0.0,100
False,,667.4455394459656,hard,partnership_disguised_sale,,6,1735,,-18.743703125000017,0.44538387903233906,0.0,0.0,100
False,,657.5133336180588,hard,partnership_disguised_sale,,7,1736,,-19.22201562500003,0.3288012060349705,0.0,0.0,100
True,12,642.0173584769946,hard,partnership_disguised_sale,-19.757436079545485,8,1737,1664,-19.43454687500003,0.45595305625088905,0.003125,0.013975424859373685,100
True,58,625.2513361589517,hard,partnership_disguised_sale,-20.04275297619051,9,1738,7552,-20.103218750000032,0.3034640517680175,0.0,0.0,100
