avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
3.5366,-10.25,0,-123,,hard,12,123,barnes_group,2.101788322130839,0,0.25,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,128,0
4.0144,-9.753333333333334,0,-117.04,,hard,12,117,barnes_group,0.6363431612650553,0,0.2487,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,256,1
4.2926,-10.002500000000001,0,-120.03000000000002,,hard,12,120,barnes_group,0.7459193269411722,0,0.2475,30,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,384,2
4.3396,-9.676666666666668,0,-116.12,,hard,12,116,barnes_group,0.6429247657457987,0,0.2463,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,512,3
4.6916,-9.511666666666667,0,-114.14,,hard,12,114,barnes_group,0.6373748381932577,0,0.245,38,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,640,4
4.289,-9.17,0,-110.04,,hard,12,110,barnes_group,0.4917125304539998,0,0.2438,37,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,768,5
4.6104,-9.666666666666666,0,-116,,hard,12,116,barnes_group,0.6117550730705261,0,0.2426,28,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,896,6
4.7766,-9.75,0,-117,,hard,12,117,barnes_group,0.5800963242848715,0,0.2414,35,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,1024,7
4.9831,-9.676666666666668,0,-116.12,,hard,12,116,barnes_group,0.4861971934636434,0,0.2402,40,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,1152,8
4.9283,-10.166666666666666,0,-122,,hard,12,122,barnes_group,0.6511575778325399,0,0.239,23,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,1280,9
4.9504,-10.004999999999999,0,-120.05999999999999,,hard,12,120,barnes_group,0.7900973558425903,0,0.2378,37,0,,1729,experiments/results/loophole_learning_metrics_hard_nomask_barnes_group_936013_0_20260811_153535,0,0,1408,10
