discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,392.3194969119504,hard,dub_irish_dutch,,0,1729,,-3.7718784338499547,0.3569335968451854,0.0,0.0,100
False,,396.8188446939457,hard,dub_irish_dutch,,1,1730,,-2.959482792721519,0.6819217568271271,0.0,0.0,100
False,,395.37074098095763,hard,dub_irish_dutch,,2,1731,,-3.26574305674025,0.5005156905457787,0.0,0.0,100
False,,395.27348557603545,hard,dub_irish_dutch,,3,1732,,-3.4168479166666663,0.5799983427007667,0.0,0.0,100
False,,388.52266633696854,hard,dub_irish_dutch,,4,1733,,-2.9683125,0.5823179951992673,0.0,0.0,100
False,,385.24716671800707,hard,dub_irish_dutch,,5,1734,,-1.9867812500000004,0.4974199169791715,0.0,0.0,100
False,,382.13755703601055,hard,dub_irish_dutch,,6,1735,,-3.491514609704641,0.5018761820662383,0.0,0.0,100
False,,382.4336502230726,hard,dub_irish_dutch,,7,1736,,-3.756880464262968,0.4679298164523445,0.0,0.0,100
False,,377.8407598279882,hard,dub_irish_dutch,,8,1737,,-3.040204944620253,0.7036396929589088,0.0,0.0,100
False,,380.5019543450326,hard,dub_irish_dutch,,9,1738,,-3.4672080828059064,0.585481855222413,0.0,0.0,100
