discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
True,87,703.2771735560382,hard,straddle_abuse,-2.3061538461538453,0,1729,11264,-2.5973333333333333,1.2930721787739348,0.005555555555555555,0.024845199749997663,100
True,49,701.5367086860351,hard,straddle_abuse,-2.8412418300653597,1,1730,6400,-2.4116666666666657,1.0368482319078327,0.0,0.0,100
True,46,700.121002512984,hard,straddle_abuse,-3.643086419753087,2,1731,6016,-3.053055555555556,1.3434285889541113,0.005555555555555555,0.024845199749997663,100
False,,695.0025745339226,hard,straddle_abuse,,3,1732,,-3.443888888888889,1.1846345973779204,0.0,0.0,100
True,69,678.0655400640098,hard,straddle_abuse,-3.5056630824372763,4,1733,8960,-3.6116111111111118,1.1893187436823134,0.005555555555555555,0.024845199749997663,100
True,80,676.0830334329512,hard,straddle_abuse,-2.470833333333334,5,1734,10368,-2.470833333333334,1.363195176183173,0.016666666666666666,0.04070528317028036,100
True,55,681.7604297020007,hard,straddle_abuse,-3.398271604938272,6,1735,7168,-3.181722222222223,1.0769442411914734,0.0,0.0,100
True,29,693.3219214490382,hard,straddle_abuse,-3.556134585289515,7,1736,3840,-2.5385000000000004,1.8575610647194873,0.005555555555555555,0.024845199749997663,100
True,93,699.4957743950654,hard,straddle_abuse,-0.05349206349206232,8,1737,12032,-1.193888888888888,1.6931817747711424,0.005555555555555555,0.024845199749997663,100
False,,707.8299078859854,hard,straddle_abuse,,9,1738,,-2.045166666666666,1.3348259810215481,0.0,0.0,100
