discovered,discovery_update,elapsed_seconds,env_variant,loophole,post_discovery_avg_reward_per_episode,run,seed,steps_to_first_discovery,tail_avg_reward_per_episode,tail_reward_stddev,tail_success_rate,tail_success_rate_stddev,updates_logged
False,,610.2204456030158,hard,subsidiary_stock_comp,,0,1729,,-1.559375,0.2179024935849205,0.0,0.0,100
False,,586.1589025949361,hard,subsidiary_stock_comp,,1,1730,,-7.759375,0.14661055420829416,0.0,0.0,100
False,,597.8329778140178,hard,subsidiary_stock_comp,,2,1731,,-1.54375,0.2194303330276641,0.0,0.0,100
False,,604.656078170985,hard,subsidiary_stock_comp,,3,1732,,-1.6530934343434343,0.18298749088359395,0.0,0.0,100
False,,605.1034549559699,hard,subsidiary_stock_comp,,4,1733,,-2.5187184343434343,1.5279339851234082,0.0,0.0,100
False,,749.070633319905,hard,subsidiary_stock_comp,,5,1734,,-1.55625,0.21257738529025638,0.0,0.0,100
False,,616.0003542710328,hard,subsidiary_stock_comp,,6,1735,,-4.465625,1.5252096221330917,0.0,0.0,100
False,,616.4497074249666,hard,subsidiary_stock_comp,,7,1736,,-1.5125,0.2504929350826402,0.0,0.0,100
False,,601.4525025879266,hard,subsidiary_stock_comp,,8,1737,,-6.980918560606061,0.13062628658268322,0.0,0.0,100
False,,587.309803882963,hard,subsidiary_stock_comp,,9,1738,,-7.3281092171717175,0.4095522566189532,0.0,0.0,100
